Station	ObsDate	Level (m)	MeanDischarge (ml/d)	Discharge (ml/d)	Temp ( C )	EC @ 25C (us/cm)
409017	8-Apr-09	2.368	7511.15	7299.264	19.925	40.771
409204C	9-Apr-09	0.615	2221.495	2185.795	18.604	49.094
219018	9-Apr-09	0.164	0.127	0.122
409017	9-Apr-09
409204C	10-Apr-09	0.601	2131.538	2101.01	18.816	49.469
219018	10-Apr-09	0.163	0.117	0.116
409017	10-Apr-09	--	--	6228.199
409204C	11-Apr-09	0.591	2096.919	2086.492	19.183	49.25
219018	11-Apr-09
409017	11-Apr-09	2.251	6325.03	6489.158	19.017	41.391
409204C	12-Apr-09	0.585	2087.177	2094.728	19.175	48.667
219018	12-Apr-09	 	 	0.169
409017	12-Apr-09	2.265	6472.418	6571.326	18.807	41.786
409204C	13-Apr-09	0.599	2119.16	2163.558	19.212	48.323
219018	13-Apr-09	0.171	0.223	0.256
409017	13-Apr-09	2.269	6508.126	6448.307	18.731	42.521
409204C	14-Apr-09	0.611	2195.531	2222.185	19.158	49
219018	14-Apr-09
409017	14-Apr-09	2.233	6157.826	5650.233	18.693	42.448
409204C	15-Apr-09	0.617	2232.954	2236.552	19.117	49.833
219018	15-Apr-09	 	 	0.265
409017	15-Apr-09	2.167	5519.764	5228.071	18.615	43.229
409204C	16-Apr-09	0.612	2197.167	2200.561	18.451	50.917
219018	16-Apr-09	0.174	0.278	0.264
409017	16-Apr-09	2.132	5200.286	5309.387	18.1	44.396
409204C	17-Apr-09	0.609	2180.781	2171.088	17.8	50.083
219018	17-Apr-09	0.173	0.257	0.256
409017	17-Apr-09	2.162	5471.384	5915.979	17.324	44.104
409204C	18-Apr-09	0.61	2183.995	2178.576	17.875	49.833
219018	18-Apr-09	0.168	0.184	0.232
409017	18-Apr-09	2.211	5934.655	5935.946	17.437	45.042
409204C	19-Apr-09	0.603	2131.784	2108.537	17.808	49.833
219018	19-Apr-09	0.174	0.279	0.278
409017	19-Apr-09	2.208	5909.564	5887.859	16.983	44.667
409204C	20-Apr-09	0.593	2099.381	2096.335	17.758	48.917
219018	20-Apr-09	0.178	0.351	0.373
409017	20-Apr-09	2.201	5838.415	5801.55	16.925	43.979
409204C	21-Apr-09	0.589	2092.563	2093.105	17.792	49.417
219018	21-Apr-09	0.174	0.283	0.268
409017	21-Apr-09	2.192	5756.547	5725.014	17.152	43.646
409204C	22-Apr-09	0.594	2100.963	2105.551	17.867	54
219018	22-Apr-09	0.18	0.399	0.483
409017	22-Apr-09	2.205	5885.326	6448.307	16.747	43.563
409204C	23-Apr-09	0.591	2095.512	2086.492	17.842	56.625
219018	23-Apr-09
409017	23-Apr-09	2.247	6287.819	5781.778	16.63	43.521
409204C	24-Apr-09	0.58	2078.372	2066.723	17.641	57.281
219018	24-Apr-09	 	 	0.564
409017	24-Apr-09	2.154	5409.875	4708.878	16.318	44.042
409204C	25-Apr-09	0.571	2060.331	2048.4	17.49	55.896
219018	25-Apr-09	0.188	0.59	0.581
409017	25-Apr-09	2.033	4381.212	3676.306	15.901	44.49
409204C	26-Apr-09	0.571	2060.272	2084.833	16.908	53.292
219018	26-Apr-09
409017	26-Apr-09	1.9	3386.888	2929.769	15.91	44.302
409204C	27-Apr-09	0.588	2091.45	2117.899	15.771	49.167
219018	27-Apr-09	 	 	0.617
409017	27-Apr-09	1.784	2657.027	1964.472	15.157	45.182
409204C	28-Apr-09	0.625	2289.382	2471.024	14.909	46.979
219018	28-Apr-09	0.189	0.622	0.61
409017	28-Apr-09	1.692	2131.873	2083.215	14.251	43.859
409204C	29-Apr-09	0.667	2552.438	2635.823	14.722	45.271
219018	29-Apr-09	0.188	0.612	0.625
409017	29-Apr-09	1.615	1758.802	1676.276	13.436	40.844
409204C	30-Apr-09	0.692	2689.099	2724.934	14.317	41.25
219018	30-Apr-09	0.19	0.658	0.703
409017	30-Apr-09	1.574	1577.205	1509.18	12.341	37
409204C	1-May-09	0.694	2698.293	2709.609	14.056	39.042
219018	1-May-09	0.191	0.697	0.655
409017	1-May-09	1.555	1495.291	1356.156	11.939	32.401
409204C	2-May-09	0.694	2697.464	2699.206	14.35	39.917
219018	2-May-09	0.182	0.477	0.403
409017	2-May-09	1.502	1279.157	1332.366	11.841	32.938
409204C	3-May-09	0.693	2694.377	2651.866	14.642	41.25
219018	3-May-09	0.185	0.532	0.545
409017	3-May-09	1.52	1346.752	1300.959	12.494	35.896
409204C	4-May-09	0.67	2568.416	2529.784	14.453	40.552
219018	4-May-09	0.186	0.545	0.545
409017	4-May-09	1.486	1218.943	1203.015	12.777	38.563
409204C	5-May-09	0.653	2469.567	2446.629	14.483	40.75
219018	5-May-09	0.187	0.561	0.588
409017	5-May-09	1.48	1195.763	1166.714	12.99	41
409204C	6-May-09	0.644	2415.753	2409.639	14.373	39.479
219018	6-May-09	0.189	0.644	0.719
409017	6-May-09	1.47	1158.526	1141.872	13.06	41.813
409204C	7-May-09	0.641	2394.94	2384.377	14.25	39
219018	7-May-09	0.193	0.746	0.735
409017	7-May-09	1.471	1161.829	1281.528	13.165	42.854
409204C	8-May-09	0.634	2348.499	2292.12	14.05	38.083
219018	8-May-09	0.192	0.728	0.727
409017	8-May-09	1.524	1365.544	1388.599	13.127	43.396
409204C	9-May-09	0.617	2233.26	2185.795	14.019	37.385
219018	9-May-09
409017	9-May-09	1.507	1298.944	1072.179	13.105	43.578
409204C	10-May-09	0.588	2099.64	2060.874	14.15	37.76
219018	10-May-09	 	 	0.801
409017	10-May-09	1.472	1166.936	1225.026	12.873	42.333
409204C	11-May-09	0.555	2023.948	1994.499	14.104	38.385
219018	11-May-09	0.196	0.852	0.794
409017	11-May-09	1.494	1246.048	1192.099	12.998	40.958
409204C	12-May-09	0.534	1958.392	1959.86	14.054	38.646
219018	12-May-09	0.191	0.705	0.903
409017	12-May-09	1.473	1168.779	1192.099	12.958	40.958
409204C	13-May-09	0.538	1975.382	1991.358	14.017	38.667
219018	13-May-09	0.193	0.772	0.925
409017	13-May-09	1.486	1219.034	1217.812	12.877	40.771
409204C	14-May-09	0.546	2000.689	2011.907	13.792	38.5
219018	14-May-09	0.193	0.753	0.812
409017	14-May-09	1.484	1212.056	1217.812	12.571	40.583
409204C	15-May-09	0.553	2018.924	2043.983	13.757	45.438
219018	15-May-09
409017	15-May-09	1.487	1222.575	1228.869	12.677	40.104
409204C	16-May-09	0.577	2072.097	2094.728	13.851	38.01
219018	16-May-09
409017	16-May-09	1.492	1239.378	1251.162	12.888	40.75
409204C	17-May-09	0.604	2153.007	2312.337	14.198	39.729
219018	17-May-09
409017	17-May-09	1.471	1170.961	895.048	13.187	41.469
409204C	18-May-09	0.66	2508.258	2678.357	13.862	39.063
219018	18-May-09
409017	18-May-09	1.537	1485.14	1979.05	11.971	37.385
409204C	19-May-09	0.705	2771.722	2824.684	13.815	38.708
219018	19-May-09
409017	19-May-09	1.597	1681.742	1376.256	11.011	31.115
409204C	20-May-09	0.713	2827.017	2824.684	13.85	39.5
219018	20-May-09
409017	20-May-09	1.489	1229.131	1141.872	10.983	30.646
409204C	21-May-09	0.716	2844.83	2881.561	14.058	41.75
219018	21-May-09
409017	21-May-09	1.48	1196.098	1225.026	11.454	32.125
409204C	22-May-09	0.731	2951.734	3033.432	14.04	41.813
219018	22-May-09
409017	22-May-09	1.488	1227.102	1266.311	11.583	32.813
409204C	23-May-09	0.756	3121.649	3230.753	13.95	42.521
409017	23-May-09	1.5	1269.301	1254.824	11.585	32.271
409017	24-May-09
409017	25-May-09
409017	26-May-09
